Order ID,Customer ID,Product ID,Order Date,Category,Sub-Category,Quantity,Sales Amount,Discount,Profit,Tax Amount,Region,State,City,Payment Mode
5ccd9b65,f1609ef6,2110,2023-01-01 20:00:00,Home Decor,Wall Art,2,106.31,0.98,105.35,7.44,North,Florida,Los Angeles,Debit Card
b662ecbf,a60c37e9,2276,2023-01-01 21:00:00,Sports,Footwear,5,26.13,9.53,359.17,1.83,West,Illinois,Chicago,PayPal
fc8302c6,3e5f4eda,2412,2023-01-01 22:00:00,Sports,Gym,4,1228.4,15.72,443.03,85.99,East,Illinois,Miami,Bank Transfer
b44591a2,dd41d446,2011,2023-01-01 23:00:00,Clothing,Kids,2,1265.58,19.66,118.67,88.59,North,Florida,Dallas,Bank Transfer
5532bce3,6feab9b5,2211,2023-01-02 00:00:00,Sports,Indoor,4,1765.47,24.55,296.3,123.58,South,Texas,Miami,Bank Transfer
59743fc5,71a95abc,2027,2023-01-02 01:00:00,Sports,Gym,1,712.09,15.27,324.14,49.85,South,New York,Miami,PayPal
64120fed,bbe31c9f,2249,2023-01-02 02:00:00,Furniture,Tables,5,174.29,5.51,463.31,12.2,East,Florida,Chicago,Debit Card
b73266e8,1e5959ad,2458,2023-01-02 03:00:00,Furniture,Beds,3,1588.46,6.9,219.6,111.19,East,Texas,Miami,Debit Card
dd27027e,29750ee6,2014,2023-01-02 04:00:00,Sports,Gym,5,1039.18,2.24,65.38,72.74,South,New York,Los Angeles,Credit Card
57df5d8b,8c550d3e,2426,2023-01-02 05:00:00,Furniture,Tables,3,489.33,26.27,137.02,34.25,North,California,Los Angeles,Credit Card
933f3a46,8b70b5c8,2337,2023-01-02 06:00:00,Home Decor,Wall Art,5,1105.02,7.8,370.51,77.35,South,Florida,Chicago,Debit Card
3f0ca28a,1b32236c,2392,2023-01-02 07:00:00,Furniture,Sofas,1,1764.76,16.09,438.51,123.53,South,Texas,Los Angeles,Credit Card
40f8f8a9,95162093,2045,2023-01-02 08:00:00,Furniture,Sofas,3,1204.82,19.64,7.12,84.34,West,New York,Dallas,Credit Card
339f4da8,1a585452,2449,2023-01-02 09:00:00,Electronics,Accessories,2,1846.73,24.4,471.06,129.27,West,California,Chicago,Debit Card
e60f0ee3,18ecba9f,2492,2023-01-02 10:00:00,Home Decor,Curtains,4,923.56,5.93,102.19,64.65,East,Texas,Houston,Credit Card
656ea276,74697f1d,2200,2023-01-02 11:00:00,Clothing,Women,3,1412.42,12.37,71.67,98.87,East,California,Los Angeles,Debit Card
2ebd49c7,c309230a,2164,2023-01-02 12:00:00,Sports,Outdoor,2,934.08,20.3,486.47,65.39,West,Texas,Houston,Debit Card
6ff11fa7,c7cd66b7,2142,2023-01-02 13:00:00,Furniture,Beds,5,472.88,13.33,203.57,33.1,East,New York,Chicago,PayPal
47461594,65e823e6,2274,2023-01-02 14:00:00,Clothing,Women,4,1394.52,3.22,408.96,97.62,North,California,Miami,Credit Card
6669ebc8,7117887f,2468,2023-01-02 15:00:00,Sports,Indoor,2,1543.73,4.51,413.72,108.06,West,California,Chicago,PayPal
58e5d82b,64f2ffac,2488,2023-01-02 16:00:00,Furniture,Sofas,2,1239.79,23.17,472.96,86.79,East,Florida,Houston,Credit Card
a5b01f7a,cd4b2d30,2461,2023-01-02 17:00:00,Electronics,Laptops,4,1758.78,22.07,77.99,123.11,South,California,Dallas,Bank Transfer
f91720db,7117887f,2187,2023-01-02 18:00:00,Clothing,Kids,1,597.19,17.53,158.22,41.8,West,California,Chicago,Credit Card
428b4690,a0800dd2,2237,2023-01-02 19:00:00,Home Decor,Wall Art,1,1425.76,23.85,103.04,99.8,North,Texas,Houston,PayPal
cc3561c7,7a164d07,2473,2023-01-02 20:00:00,Furniture,Chairs,2,1885.18,1.71,89.11,131.96,North,Texas,Miami,PayPal
82c3ac28,38f7dff2,2197,2023-01-02 21:00:00,Electronics,Accessories,5,674.78,27.11,208.6,47.23,South,Texas,Chicago,Credit Card
624a6542,04ca6523,2274,2023-01-02 22:00:00,Furniture,Tables,2,1603.95,1.42,18.26,112.28,North,Florida,Houston,Credit Card
f7ce021a,b739ce36,2497,2023-01-02 23:00:00,Electronics,Smartphones,5,1601.67,18.1,9.4,112.12,East,Florida,Houston,Bank Transfer
d4f05364,cbf84e35,2073,2023-01-03 00:00:00,Furniture,Tables,5,1251.56,22.7,52.81,87.61,North,New York,Houston,PayPal
c2670c2e,d8dbed31,2497,2023-01-03 01:00:00,Sports,Outdoor,4,1491.03,9.08,113.17,104.37,East,Illinois,Dallas,Credit Card
f8795c33,e3566243,2019,2023-01-03 02:00:00,Clothing,Accessories,1,368.02,24.03,268.1,25.76,North,Florida,Dallas,Bank Transfer
32c2f854,45919ce5,2207,2023-01-03 03:00:00,Home Decor,Curtains,4,1731.73,6.05,397.34,121.22,East,Texas,Dallas,Bank Transfer
c1ff88d4,f54b5957,2233,2023-01-03 04:00:00,Sports,Footwear,1,1807.06,19.8,88.62,126.49,South,New York,Dallas,Credit Card
acf25a4a,ff65141f,2417,2023-01-03 05:00:00,Furniture,Beds,3,732.94,7.49,215.19,51.31,East,California,Miami,Debit Card
913a92cb,5a8ab584,2221,2023-01-03 06:00:00,Clothing,Accessories,2,1150.9,27.37,317.07,80.56,West,Illinois,Dallas,Bank Transfer
3c230a16,dcdb63a0,2136,2023-01-03 07:00:00,Clothing,Women,2,1374.49,12.61,407.74,96.21,West,Illinois,Chicago,PayPal
7263c138,e80b42ee,2331,2023-01-03 08:00:00,Sports,Gym,1,739.32,24.77,430.07,51.75,North,Illinois,Houston,Bank Transfer
f5e23ab0,e5064ab3,2037,2023-01-03 09:00:00,Sports,Gym,1,246.65,23.49,44.38,17.27,South,California,Miami,Credit Card
b32a3faf,690786fd,2366,2023-01-03 10:00:00,Sports,Outdoor,1,1112.06,3.29,419.02,77.84,West,Texas,Chicago,Debit Card
274cc6e0,b9f77ff2,2059,2023-01-03 11:00:00,Furniture,Tables,2,360.76,19.85,465.02,25.25,West,Texas,Chicago,Bank Transfer
8c9f9051,d30c9862,2269,2023-01-03 12:00:00,Electronics,Accessories,1,671.08,2.77,99.85,46.98,West,Texas,Los Angeles,Debit Card
1a0a2c05,8dd0db07,2102,2023-01-03 13:00:00,Electronics,Laptops,1,300.55,13.91,371.68,21.04,East,Illinois,Miami,Bank Transfer
30f10767,7300ffb5,2197,2023-01-03 14:00:00,Furniture,Sofas,5,769.61,3.13,419.77,53.87,West,Illinois,Miami,Credit Card
d8f31989,e9c6ddd5,2212,2023-01-03 15:00:00,Home Decor,Curtains,3,1905.27,13.38,448.66,133.37,South,California,Dallas,Credit Card
18fcf717,233c3da5,2442,2023-01-03 16:00:00,Clothing,Men,3,1727.86,20.76,138.2,120.95,North,California,Los Angeles,Debit Card
dc52aacf,5b86b3e0,2218,2023-01-03 17:00:00,Home Decor,Vases,1,1740.17,2.68,469.48,121.81,South,Florida,Chicago,Debit Card
3c5450dd,ab8d73cd,2226,2023-01-03 18:00:00,Clothing,Women,4,1308.13,6.39,398.64,91.57,South,Illinois,Los Angeles,PayPal
3303726b,9aae97a4,2297,2023-01-03 19:00:00,Home Decor,Curtains,5,22.47,8.27,130.04,1.57,South,Florida,Chicago,Credit Card
9d66e620,49f3dd52,2177,2023-01-03 20:00:00,Furniture,Tables,4,963.14,26.24,411.12,67.42,West,California,Houston,Debit Card
93557e6e,7f8e8118,2448,2023-01-03 21:00:00,Electronics,Tablets,5,1447.01,28.05,19.56,101.29,South,California,Miami,Credit Card
0a81c90d,147a7eae,2161,2023-01-03 22:00:00,Electronics,Tablets,4,1253.09,17.25,456.64,87.72,South,California,Los Angeles,PayPal
409da5f1,64f2ffac,2124,2023-01-03 23:00:00,Home Decor,Lighting,3,307.91,19.08,150.06,21.55,West,Texas,Miami,PayPal
f47750f4,a9590c17,2131,2023-01-04 00:00:00,Furniture,Sofas,1,819.25,27.4,258.31,57.35,South,Illinois,Chicago,Debit Card
49f53880,cbf7b729,2006,2023-01-04 01:00:00,Electronics,Smartphones,3,72.82,20.31,237.93,5.1,East,California,Miami,Credit Card
1a1be621,35189661,2338,2023-01-04 02:00:00,Clothing,Accessories,1,1734.17,27.77,284.32,121.39,East,Texas,Miami,Bank Transfer
4ff88fe4,50da4b6f,2281,2023-01-04 03:00:00,Furniture,Sofas,2,1084.46,26.85,181.53,75.91,East,Florida,Chicago,Debit Card
c6c0e7ad,d601a079,2271,2023-01-04 04:00:00,Electronics,Laptops,4,1406.61,17.17,436.41,98.46,North,Illinois,Los Angeles,PayPal
74c5179a,aa187b3a,2100,2023-01-04 05:00:00,Sports,Outdoor,1,1365.46,8.95,166.88,95.58,South,California,Dallas,Debit Card
2a8b3d33,5704a0f9,2011,2023-01-04 06:00:00,Clothing,Women,2,1108.77,6.18,120.7,77.61,North,Illinois,Dallas,PayPal
f1739dc1,921b9925,2060,2023-01-04 07:00:00,Home Decor,Vases,2,1055.79,6.28,13.56,73.91,West,Illinois,Dallas,Bank Transfer
6662c7b5,d6dabded,2421,2023-01-04 08:00:00,Home Decor,Lighting,1,1789.54,4.27,132.53,125.27,South,Texas,Miami,Credit Card
67012dd5,0919a605,2107,2023-01-04 09:00:00,Electronics,Accessories,2,82.41,25.23,297.38,5.77,North,Florida,Miami,Debit Card
a32f6c9d,e5064ab3,2414,2023-01-04 10:00:00,Furniture,Beds,1,1401.77,27.92,382.11,98.12,North,Illinois,Houston,Debit Card
d171a3fb,0be47504,2406,2023-01-04 11:00:00,Electronics,Laptops,5,995.76,7.19,154.5,69.7,West,Florida,Dallas,Bank Transfer
f1cd2988,cb873361,2335,2023-01-04 12:00:00,Clothing,Men,1,1258.59,16.0,455.96,88.1,North,Texas,Chicago,Bank Transfer
81029ba5,cf4a0adb,2101,2023-01-04 13:00:00,Home Decor,Vases,3,618.18,28.84,251.74,43.27,North,Florida,Chicago,PayPal
8d2d9672,7a7c5b22,2223,2023-01-04 14:00:00,Furniture,Tables,4,1421.99,24.04,351.43,99.54,South,Texas,Chicago,Debit Card
a9418075,4ebb0885,2482,2023-01-04 15:00:00,Home Decor,Lighting,3,1282.12,28.26,100.87,89.75,South,New York,Los Angeles,Bank Transfer
9e9cb786,0d12f4d6,2329,2023-01-04 16:00:00,Furniture,Beds,1,1519.56,0.41,79.98,106.37,West,New York,Miami,PayPal
e4d45fc5,ac2f1cfc,2348,2023-01-04 17:00:00,Home Decor,Vases,1,1651.2,12.18,158.08,115.58,North,New York,Los Angeles,Credit Card
368dbdf2,b6ac3cbd,2101,2023-01-04 18:00:00,Electronics,Smartphones,5,1148.33,3.5,494.9,80.38,South,Illinois,Dallas,Bank Transfer
9c253a2d,1905128c,2062,2023-01-04 19:00:00,Furniture,Tables,5,1913.51,20.71,391.03,133.95,North,New York,Los Angeles,Bank Transfer
61c21d7e,56036ae9,2224,2023-01-04 20:00:00,Clothing,Women,4,1534.32,1.53,231.48,107.4,South,California,Dallas,Bank Transfer
3d5fb5a3,f1526602,2077,2023-01-04 21:00:00,Clothing,Kids,4,1858.61,1.13,325.33,130.1,East,California,Chicago,Credit Card
825f12a6,d7fa7c9f,2375,2023-01-04 22:00:00,Electronics,Smartphones,1,1219.35,18.32,286.11,85.35,East,California,Dallas,PayPal
8ee78ce0,45919ce5,2144,2023-01-04 23:00:00,Clothing,Kids,5,1443.23,1.95,16.39,101.03,West,California,Houston,Bank Transfer
15a61e72,33803868,2404,2023-01-05 00:00:00,Clothing,Women,5,277.73,29.52,228.9,19.44,South,California,Chicago,Credit Card
a9bc70e1,b9cd92e3,2393,2023-01-05 01:00:00,Sports,Gym,1,695.93,12.45,39.59,48.72,South,California,Los Angeles,Credit Card
d2bd9960,4ba093b2,2065,2023-01-05 02:00:00,Sports,Footwear,1,619.3,5.08,375.43,43.35,South,Texas,Los Angeles,Bank Transfer
de22a292,a2cd2cf4,2228,2023-01-05 03:00:00,Furniture,Chairs,5,857.11,12.24,187.82,60.0,West,California,Chicago,Debit Card
7c10dce6,be0bf19c,2226,2023-01-05 04:00:00,Sports,Outdoor,5,1943.49,3.63,389.05,136.04,West,California,Dallas,Bank Transfer
41bfc675,5adb9d13,2464,2023-01-05 05:00:00,Sports,Indoor,4,1832.11,22.46,70.19,128.25,North,Texas,Houston,Bank Transfer
422736b1,8d48215b,2019,2023-01-05 06:00:00,Furniture,Chairs,1,1572.82,17.06,362.01,110.1,South,Florida,Chicago,Bank Transfer
b22209cc,9a541264,2249,2023-01-05 07:00:00,Electronics,Tablets,4,119.83,24.29,27.56,8.39,North,California,Chicago,Bank Transfer
9ff0d75c,73b9988d,2406,2023-01-05 08:00:00,Home Decor,Lighting,4,117.15,28.24,253.72,8.2,North,Florida,Los Angeles,Credit Card
f14eeeb0,2da1ae7b,2313,2023-01-05 09:00:00,Clothing,Kids,1,1981.23,16.09,151.08,138.69,East,Florida,Houston,Debit Card
3046db6e,2b8abd3e,2119,2023-01-05 10:00:00,Furniture,Sofas,2,1878.83,25.32,43.38,131.52,East,Texas,Houston,Bank Transfer
78ce7a9d,9e87b7dc,2460,2023-01-05 11:00:00,Clothing,Accessories,1,1118.57,27.15,428.76,78.3,East,Florida,Chicago,Credit Card
8eee1f05,af29425e,2235,2023-01-05 12:00:00,Home Decor,Curtains,1,71.56,29.49,172.39,5.01,North,California,Houston,PayPal
61449de6,d909e10c,2225,2023-01-05 13:00:00,Clothing,Accessories,4,1769.48,9.31,317.47,123.86,West,Texas,Houston,Debit Card
42c32593,5ff0b40c,2386,2023-01-05 14:00:00,Sports,Gym,5,1106.57,27.12,72.17,77.46,North,Illinois,Houston,Debit Card
9bed2b26,a28d781a,2139,2023-01-05 15:00:00,Furniture,Sofas,1,223.18,19.23,190.61,15.62,West,Illinois,Miami,PayPal
0657c3dc,62418866,2113,2023-01-05 16:00:00,Electronics,Tablets,2,1207.08,19.95,108.69,84.5,West,Florida,Houston,PayPal
3a09ba74,6de7f5a5,2203,2023-01-05 17:00:00,Sports,Indoor,4,1740.27,14.11,345.01,121.82,East,California,Dallas,Credit Card
d1c6126b,d199996c,2142,2023-01-05 18:00:00,Sports,Indoor,3,318.87,4.12,425.47,22.32,East,Texas,Los Angeles,Bank Transfer
51f99d42,af29425e,2194,2023-01-05 19:00:00,Electronics,Accessories,2,1933.37,14.91,384.29,135.34,West,Florida,Miami,Credit Card
6beabbfd,fed88c9a,2403,2023-01-05 20:00:00,Furniture,Beds,2,392.76,23.53,484.15,27.49,West,Florida,Los Angeles,Debit Card
76325911,1a2f1f79,2118,2023-01-05 21:00:00,Clothing,Accessories,1,402.36,28.46,316.68,28.17,South,Texas,Dallas,Debit Card
73fd981e,d18200df,2311,2023-01-05 22:00:00,Furniture,Sofas,1,905.8,16.18,250.79,63.41,North,Illinois,Dallas,Debit Card
0b848add,48a10030,2101,2023-01-05 23:00:00,Home Decor,Lighting,1,1638.13,16.74,354.9,114.67,North,Florida,Miami,Credit Card
65af3a99,960a9856,2085,2023-01-06 00:00:00,Clothing,Men,2,1038.75,21.43,159.82,72.71,East,Texas,Houston,PayPal
2d63d87c,b51c6e52,2239,2023-01-06 01:00:00,Electronics,Accessories,2,999.65,28.53,318.72,69.98,East,New York,Los Angeles,PayPal
59c9fd62,a8061dbd,2433,2023-01-06 02:00:00,Electronics,Smartphones,4,1987.85,25.49,141.31,139.15,South,Texas,Miami,Debit Card
e7aaf2a4,d680ef7f,2214,2023-01-06 03:00:00,Home Decor,Lighting,1,852.5,11.63,284.01,59.68,South,Texas,Chicago,Credit Card
ec3d0f52,cb4b905e,2348,2023-01-06 04:00:00,Clothing,Accessories,4,1517.97,9.24,225.0,106.26,South,New York,Los Angeles,Credit Card
6b8c9e3e,5d7be54f,2183,2023-01-06 05:00:00,Furniture,Sofas,2,1257.72,18.74,233.54,88.04,West,California,Los Angeles,Credit Card
7ed5e230,f2e68695,2358,2023-01-06 06:00:00,Home Decor,Vases,1,1372.95,8.97,78.05,96.11,North,Texas,Los Angeles,Debit Card
190daf19,d9c8f14f,2008,2023-01-06 07:00:00,Electronics,Tablets,1,27.57,28.65,485.71,1.93,East,New York,Los Angeles,Credit Card
26145dab,ff65141f,2384,2023-01-06 08:00:00,Home Decor,Wall Art,2,1732.92,5.68,124.16,121.3,West,Florida,Dallas,Debit Card
5f3a6796,fd6f7f1f,2087,2023-01-06 09:00:00,Furniture,Sofas,5,1440.8,26.98,54.27,100.86,West,Texas,Chicago,Debit Card
27e5b69b,941cbb51,2047,2023-01-06 10:00:00,Sports,Indoor,2,1085.08,19.19,26.35,75.96,South,Florida,Chicago,Credit Card
9b51ec32,68a5a02b,2452,2023-01-06 11:00:00,Clothing,Accessories,3,1680.54,29.2,290.36,117.64,North,New York,Chicago,Bank Transfer
8aea22c6,23b2dc5d,2109,2023-01-06 12:00:00,Home Decor,Vases,3,230.8,29.8,324.09,16.16,North,New York,Houston,Debit Card
c8e67c21,7ea923b8,2318,2023-01-06 13:00:00,Electronics,Laptops,4,1305.41,9.26,322.61,91.38,West,California,Miami,Bank Transfer
621061c3,3d3dc0a5,2392,2023-01-06 14:00:00,Electronics,Laptops,4,1943.27,5.04,191.58,136.03,West,New York,Dallas,Debit Card
1a6b56de,fad2390b,2368,2023-01-06 15:00:00,Clothing,Men,5,1951.54,24.82,140.52,136.61,South,Illinois,Los Angeles,Debit Card
2b69c71b,b9cd92e3,2334,2023-01-06 16:00:00,Furniture,Beds,2,1835.52,2.12,94.53,128.49,West,Texas,Houston,PayPal
c1528ca3,288e4009,2132,2023-01-06 17:00:00,Home Decor,Wall Art,2,1839.07,6.2,454.49,128.73,East,Illinois,Houston,Credit Card
65a2e04f,41dbb72f,2440,2023-01-06 18:00:00,Electronics,Tablets,4,1807.14,10.67,213.11,126.5,South,Florida,Los Angeles,Debit Card
df122950,09ef2817,2102,2023-01-06 19:00:00,Clothing,Women,4,1483.72,22.31,162.24,103.86,North,New York,Los Angeles,Bank Transfer
af65d73c,e7b41613,2404,2023-01-06 20:00:00,Furniture,Tables,5,462.8,0.96,160.06,32.4,North,Illinois,Dallas,Credit Card
35ccf16b,e249dad3,2081,2023-01-06 21:00:00,Electronics,Smartphones,5,1364.05,15.55,292.88,95.48,North,New York,Chicago,PayPal
0bd351ba,e9790de3,2391,2023-01-06 22:00:00,Clothing,Accessories,1,1764.83,9.69,140.0,123.54,East,Texas,Chicago,Debit Card
86dbe415,bb31d991,2085,2023-01-06 23:00:00,Furniture,Beds,2,1416.07,15.02,214.99,99.12,North,Illinois,Chicago,Credit Card
0823e84e,90605714,2054,2023-01-07 00:00:00,Home Decor,Lighting,1,392.65,16.03,125.26,27.49,North,Texas,Los Angeles,Bank Transfer
b6d0bddb,68f962c3,2236,2023-01-07 01:00:00,Electronics,Laptops,5,1208.85,12.31,111.88,84.62,West,Illinois,Miami,Debit Card
1876dfba,6887ab11,2106,2023-01-07 02:00:00,Sports,Footwear,3,854.91,15.62,61.58,59.84,North,New York,Dallas,Bank Transfer
453cb3ed,365f1195,2137,2023-01-07 03:00:00,Home Decor,Curtains,1,667.02,27.79,314.96,46.69,South,Florida,Miami,Bank Transfer
d4d4c827,a0800dd2,2036,2023-01-07 04:00:00,Sports,Gym,1,461.69,24.65,243.58,32.32,North,California,Houston,Debit Card
480bad5a,bb28ed9d,2368,2023-01-07 05:00:00,Sports,Indoor,2,951.79,2.09,439.29,66.63,South,New York,Miami,Bank Transfer
3d46fcac,5b86b3e0,2059,2023-01-07 06:00:00,Electronics,Smartphones,1,955.81,13.13,209.12,66.91,East,California,Houston,Debit Card
a49cd90d,74697f1d,2205,2023-01-07 07:00:00,Home Decor,Curtains,2,1999.99,1.07,118.68,140.0,North,Texas,Miami,Debit Card
2d45b943,030b90df,2483,2023-01-07 08:00:00,Electronics,Laptops,4,559.35,21.83,277.48,39.15,South,Texas,Miami,Debit Card
084a962f,77d04825,2287,2023-01-07 09:00:00,Sports,Outdoor,5,644.86,18.35,163.98,45.14,South,Illinois,Dallas,PayPal
69e2cb0f,7e1f33e6,2280,2023-01-07 10:00:00,Home Decor,Wall Art,4,991.05,8.58,288.79,69.37,West,Texas,Dallas,Debit Card
7e039152,8af4ccc3,2080,2023-01-07 11:00:00,Furniture,Chairs,3,1424.8,22.57,475.77,99.74,West,New York,Miami,Bank Transfer
6e993259,9e87b7dc,2173,2023-01-07 12:00:00,Furniture,Tables,1,1676.07,25.48,138.2,117.32,South,Illinois,Miami,PayPal
6a55488a,786b31b0,2276,2023-01-07 13:00:00,Home Decor,Curtains,3,1225.9,8.95,25.48,85.81,West,Florida,Dallas,Debit Card
3f6008f0,b1740d05,2149,2023-01-07 14:00:00,Home Decor,Lighting,2,460.54,14.36,242.06,32.24,South,New York,Los Angeles,Debit Card
4fbc860f,7aa5d26d,2063,2023-01-07 15:00:00,Furniture,Sofas,2,820.67,19.93,487.95,57.45,South,Texas,Los Angeles,Credit Card
0d7d8b2f,ef73c84b,2334,2023-01-07 16:00:00,Sports,Footwear,4,982.85,26.98,273.51,68.8,South,Florida,Houston,PayPal
426642b4,69d72a41,2315,2023-01-07 17:00:00,Clothing,Women,3,607.33,25.34,437.57,42.51,North,Florida,Dallas,Credit Card
900b85d3,64711fcc,2206,2023-01-07 18:00:00,Clothing,Men,3,447.08,28.09,302.82,31.3,North,Florida,Chicago,Bank Transfer
c141710f,9f2cd460,2230,2023-01-07 19:00:00,Furniture,Sofas,1,1094.78,20.75,272.72,76.63,North,New York,Dallas,Debit Card
a9ed1098,1c65a5fc,2250,2023-01-07 20:00:00,Clothing,Women,1,746.87,17.17,250.31,52.28,South,Florida,Houston,PayPal
9dbeecb4,921b9925,2241,2023-01-07 21:00:00,Electronics,Smartphones,2,1650.94,9.34,71.0,115.57,West,California,Chicago,Debit Card
a74cfe6e,725904e3,2032,2023-01-07 22:00:00,Home Decor,Curtains,4,671.83,22.98,325.57,47.03,West,California,Los Angeles,PayPal
3f8b1d1a,b9f3d6b5,2147,2023-01-07 23:00:00,Electronics,Tablets,4,1365.16,6.65,462.2,95.56,East,California,Chicago,Credit Card
a72d029b,fbf06feb,2072,2023-01-08 00:00:00,Furniture,Sofas,2,521.51,8.19,238.43,36.51,South,Texas,Dallas,Bank Transfer
827b4f5b,42f3f824,2499,2023-01-08 01:00:00,Electronics,Smartphones,1,1730.45,2.93,104.94,121.13,South,Florida,Houston,Bank Transfer
12eaf102,20273f81,2481,2023-01-08 02:00:00,Clothing,Kids,1,1860.95,12.42,203.69,130.27,East,Texas,Chicago,Bank Transfer
f71e7be7,fe7e2584,2075,2023-01-08 03:00:00,Electronics,Accessories,5,1471.48,7.29,462.56,103.0,East,New York,Los Angeles,Credit Card
fe1f379a,efdd6258,2423,2023-01-08 04:00:00,Home Decor,Wall Art,1,1777.52,27.01,155.42,124.43,North,Texas,Houston,Credit Card
6ae30027,5a35d396,2219,2023-01-08 05:00:00,Clothing,Kids,2,177.07,13.73,268.04,12.39,North,New York,Dallas,PayPal
30e4d03b,6b495d6c,2496,2023-01-08 06:00:00,Clothing,Kids,3,1341.51,19.72,462.0,93.91,West,California,Dallas,Debit Card
97286ff7,fbf06feb,2358,2023-01-08 07:00:00,Furniture,Chairs,5,802.47,20.1,14.94,56.17,West,Florida,Chicago,PayPal
27916ed5,fd30e3fe,2396,2023-01-08 08:00:00,Home Decor,Wall Art,5,47.74,16.82,31.71,3.34,North,California,Dallas,Bank Transfer
729575df,5b288e07,2198,2023-01-08 09:00:00,Furniture,Sofas,5,732.02,23.01,106.07,51.24,North,Illinois,Miami,Bank Transfer
3819c453,80b076d3,2290,2023-01-08 10:00:00,Home Decor,Curtains,5,1745.29,12.02,206.72,122.17,West,Illinois,Houston,PayPal
129502a8,6a627413,2463,2023-01-08 11:00:00,Electronics,Laptops,3,1672.41,19.18,240.15,117.07,North,Texas,Dallas,Credit Card
b00b0abd,8a5db713,2203,2023-01-08 12:00:00,Sports,Outdoor,5,699.94,1.16,67.9,49.0,North,California,Chicago,Credit Card
71db79b7,f1609ef6,2085,2023-01-08 13:00:00,Electronics,Laptops,3,802.45,0.27,363.16,56.17,West,Illinois,Houston,Credit Card
e2c9ff21,c4b18c6f,2341,2023-01-08 14:00:00,Clothing,Accessories,1,833.02,2.86,212.15,58.31,North,California,Dallas,Credit Card
795dccae,233c3da5,2175,2023-01-08 15:00:00,Furniture,Chairs,5,1811.75,18.36,213.81,126.82,East,Illinois,Chicago,Debit Card
0c47cc79,d93de36f,2141,2023-01-08 16:00:00,Furniture,Chairs,2,324.02,6.13,295.05,22.68,North,California,Miami,Debit Card
5927e377,e0ce6c10,2192,2023-01-08 17:00:00,Home Decor,Curtains,4,458.23,25.96,389.28,32.08,South,Texas,Chicago,Debit Card
